Age,Country of Birth,Gender,Employment Status,Average Drinks per Day,Noisy Drinks 10%,Noisy Drinks 20%,Noisy Drinks 30%,Noisy Drinks 40%,Noisy Drinks 50%,Noisy Drinks 60%,Noisy Drinks 70%,Noisy Drinks 80%,Noisy Drinks 90%,Noisy Drinks 100%
78,China,Female,Part-Time,0.3,0.31980101371681763,0.8199912955850368,0.08441837795210891,0.3267453724886641,0.8307355329441886,0.0,0.43268468466597887,1.807971581557054,0.20613265918443618,0.5829515504128115
38,India,Non-Binary,Part-Time,0.4,0.4302404877324451,0.0,0.3324572094885604,0.357251595774365,0.0,0.5687065552817225,0.0,0.5911562135191394,0.0,1.881346537751177
31,United States,Female,Unemployed,4.3,4.221453563653879,3.88462728499346,4.442947640445004,3.8904257912109736,3.4596255094062043,4.0164582093613355,5.212841033922365,8.053922504627808,4.089761251620015,1.7069171405082897
19,China,Male,Self-Employed,0.6,0.50365706007221,0.5054792942539477,0.35484135417895035,0.38837461431685016,0.887906037945931,0.7296020367764362,0.0,2.2164507401312257,0.0,0.0
35,Mexico,Non-Binary,Self-Employed,1.5,1.2368582256905198,1.3509838525045066,1.5539409050537853,0.7072400821711099,0.9691587668758008,2.1932360738707275,1.4752919165263023,1.213132996800872,1.068192473993844,2.7709606212606888
56,China,Non-Binary,Full-Time,0.4,0.43977235157707345,0.4872321173633365,0.3734612197020421,0.610032957313966,0.0,0.0,0.2235766659822432,0.4722690250098506,0.013292399712268255,0.37327256781341167
30,Germany,Non-Binary,Full-Time,5.6,5.486454947210261,5.835479343039113,4.884241297568984,4.3565221338797055,5.656606354292009,6.036693523530235,5.77606006675505,5.944692422112546,5.484450229162393,5.467926893949784
25,United States,Non-Binary,Self-Employed,4.3,3.9545785551946846,4.318049314680612,4.472605408835063,3.998409032110053,4.3578133626753655,4.131328186303964,3.884278545329066,3.389804685390787,4.9444096399658415,4.099694813479782
41,China,Female,Self-Employed,0.0,0.03581300655006495,0.0,0.060655588330940396,0.0,0.0,0.8204551771654878,0.0,0.19991100847781024,0.5133763449575045,0.0
52,India,Non-Binary,Full-Time,1.5,1.242623061322511,1.4362873555843838,0.9407564094495711,2.394665938416577,1.267114438085625,2.255610728605092,2.961826022300805,1.0002646571651987,2.554908221131726,2.4913761973313466
